word|distractors
45|alastor|['aleatory', 'alazon', 'malaphor', 'alnaschar', 'albion']
46|alazon|['albion', 'lagoon', 'alastor', 'abaddon', 'halcyon']
47|albion|['alazon', 'elision', 'halcyon', 'ascian', 'pluton']
48|aleatoricism|['aleatory', 'anagnorisis', 'malapropism', 'agathism', 'asterism']
49|aleatory|['alastor', 'plethora', 'alazon', 'lagoon', 'pleroma']
50|alexithymia|['hyperthymia', 'lexiphanic', 'antithalian', 'plethora', 'paresthesia']
51|aliteracy|['ataraxy', 'balter', 'esoteric', 'alliciency', 'appetency']
52|alliciency|['appetency', 'aliteracy', 'dalliance', 'felicity', 'apricity']
53|alnaschar|['alastor', 'akrasia', 'ashlar', 'anaphora', 'malaphor']
54|alpenglow|['spanghew', 'languor', 'albion', 'jingo', 'aleatory']
55|amaranth|['amaranthine', 'mordant', 'ataraxy', 'hiraeth', 'gisant']
56|amaranthine|['amaranth', 'tarantism', 'agathism', 'aniline', 'tontine']
57|ambisinistrous|['atramentous', 'obstreperous', 'amnicolist', 'bilious', 'ignivomous']
58|amnicolist|['aniline', 'iconoclast', 'agnosy', 'omnilegent', 'bucolic']
59|amour propre|['doryphore', 'ailurophile', 'ommatophore', 'torpor', 'pourparler']
60|anacronym|['aptronym', 'contronym', 'endonym', 'paroxysm', 'amaranth']
61|anaculothon|['clotho', 'nickelodeon', 'anacronym', 'cyclogon', 'inanition']
62|anagnorisis|['autonoesis', 'antanaclasis', 'anaphora', 'autopoiesis', 'aleatoricism']
10|analemma|['trilemma', 'panacea', 'polylemma', 'anaphora', 'talisman']
63|ananke|['snaste', 'anomie', 'slake', 'janky', 'ennui']
64|anaphora|['malaphor', 'hypophora', 'alastor', 'plethora', 'anorak']
66|anhedonia|['acedia', 'anaphora', 'anodyne', 'pareidolia', 'anomie']
67|aniline|['anodyne', 'anomie', 'nibling', 'ananke', 'adonize']
68|anodyne|['aniline', 'anomie', 'podunk', 'agnosy', 'ananke']
69|anomie|['anodyne', 'anorak', 'ananke', 'adonize', 'apogee']
70|anorak|['norns', 'pangram', 'anomie', 'grok', 'ananke']
71|anosognosia|['agnosy', 'apotheosis', 'anhedonia', 'acyrologia', 'idioglossia']
72|antebellum|['asterism', 'ocellus', 'knell', 'saeculum', 'obelus']
73|antejentacular|['jentacular', 'antimetabole', 'antanaclasis', 'antebellum', 'crepuscular']
74|anthropodicy|['zoanthropy', 'lethologica', 'threnody', 'apotropaic', 'atropos']
75|anthypophora|['hypophora', 'anaphora', 'cephalophore', 'atropos', 'anhedonia']
76|antithalian|['jactitation', 'bacchanalian', 'nihilarian', 'riparian', 'aniline']
77|aphantasia|['akrasia', 'apophasis', 'panacea', 'thanatosis', 'antanaclasis']
78|apocryphal|['apotropaic', 'apophenia', 'poché', 'anorak', 'doryphore']
79|apogee|['anomie', 'asphodel', 'jape', 'anodyne', 'zaggle']
80|apophasis|['apotheosis', 'apophenia', 'holophrasis', 'aposiopesis', 'sophist']
81|apophenia|['apophasis', 'apotheosis', 'epiphany', 'anaphora', 'aibohphobia']
82|aposiopesis|['autonoesis', 'apotropaic', 'apotheosis', 'apophasis', 'autopoiesis']
83|apotheosis|['apophasis', 'apophenia', 'phthisic', 'aposiopesis', 'apotropaic']
84|apotropaic|['apotheosis', 'apocryphal', 'orphic', 'aptronym', 'cacotopia']
85|appetency|['neoteny', 'limerence', 'oscitancy', 'apophenia', 'nascency']
86|apricity|['felicity', 'aureate', 'akrasia', 'temerity', 'prolate']
87|aptronym|['contronym', 'anacronym', 'contranym', 'atropos', 'paroxysm']
88|arcturus|['abatures', 'barathrum', 'arcuate', 'accismus', 'muckibus']
89|arcuate|['parcae', 'aureate', 'peculate', 'prolate', 'ululate']
90|argot|['harrow', 'brood', 'turbot', 'crunt', 'ort']
91|arietiform|['aciniform', 'vermiform', 'asterism', 'charientism', 'alastor']
92|armamentarium|['atramentous', 'rastrum', 'tarantism', 'aphantasia', 'amaranthine']
93|ascian|['ashlar', 'augean', 'albion', 'pariah', 'anorak']
15|ashlar|['ascian', 'isolato', 'augean', 'slake', 'abulia']
94|asphodel|['spandrel', 'apogee', 'aesthete', 'anaphora', 'ploce']
95|assemblage|['dissemble', 'sabrage', 'aestivate', 'greeble', 'ullage']
96|asterism|['esoteric', 'sophism', 'cerise', 'dystheism', 'illeism']
97|ataraxy|['cataplexy', 'aliteracy', 'amaranth', 'anorak', 'vitrify']
98|atramentous|['jumentous', 'tendentious', 'promontory', 'armamentarium', 'tenebrous']
99|atropos|['argot', 'aptronym', 'torpor', 'brood', 'droog']
100|augean|['quean', 'bagman', 'aureate', 'dudgeon', 'ascian']
101|aureate|['arcuate', 'augean', 'parcae', 'saudade', 'roulette']
102|aurulent|['feculent', 'esculent', 'opulent', 'aureate', 'redolent']
103|autodidact|['luxuriant', 'mudita', 'bucolic', 'volitant', 'autogolpe']
104|autodidacticism ; the process or practice of learning a subject without a teacher or formal education; self|['googling a word now provides all kinds of info', 'propreantepenultimate', 'agathocacological', 'tintinnabulation', 'aesopian language']
105|autogolpe|['tope', 'octothorpe', 'autonoesis', 'apogee', 'ouroboros']
106|autonoesis|['autopoiesis', 'apophasis', 'autogolpe', 'anagnorisis', 'aposiopesis']
107|autopoiesis|['autonoesis', 'aposiopesis', 'apophasis', 'atropos', 'holophrasis']
108|ayauhcozamalotl|['autodidact', 'bacchanal', 'bacchanalian', 'edulcorate', 'mythomania']
109|bacchanal|['bacchanalian', 'blepharal', 'bagman', 'chiral', 'carceral']
110|bacchanalian|['bacchanal', 'antithalian', 'aphantasia', 'bathykolpian', 'blepharal']
111|backpfeifengesicht|['lackadaisical', 'bakfiets', 'appetency', 'stellenbosch', 'defenestrate']
112|bafflegab|['bakfiets', 'darkle', 'banneret', 'brabble', 'balter']
113|bagatelle|['brabble', 'ratatouille', 'quaintrelle', 'agathism', 'balter']
114|bagman|['brumal', 'lagoon', 'augean', 'maw', 'bumf']
115|bailiwick|['maieutic', 'dalliance', 'bilious', 'elflock', 'malaise']
116|bakfiets|['bafflegab', 'banneret', 'waft', 'balter', 'akimbo']
117|balter|['smatter', 'jape', 'waft', 'alastor', 'banneret']
118|banneret|['balter', 'carcanet', 'nigget', 'cathect', 'carceral']
119|barathrum|['rastrum', 'arcturus', 'agathism', 'paracosm', 'panjandrum']
120|bathykolpian|['bacchanalian', 'botryoidal', 'anhedonia', 'antithalian', 'stentorian']
121|batrachophagous|['diaphanous', 'atramentous', 'atropos', 'obstreperous', 'catachresis']
122|becoming|['fetching', 'bucolic', 'anomie', 'redolent', 'laconic']
123|beleaguer|['claque', 'faldage', 'languor', 'burgher', 'balter']
124|bellibone|['vellicate', 'ebullient', 'albion', 'belvedere', 'bilious']
125|belvedere|['provender', 'bellibone', 'beleaguer', 'bluebeard', 'balter']
126|benighted|['tenanted', 'burgher', 'decimate', 'nigget', 'etiolated']
127|benthocosm|['henotheism', 'etiology', 'psithurism', 'atropos', 'agathism']
128|bibliolatry|['heliolatry', 'hagiolatry', 'etiolated', 'bilious', 'isolato']
129|bijou|['brood', 'timon', 'bilious', 'dixi', 'jingo']
130|bijouterie|['esoteric', 'bijou', 'exoteric', 'bagatelle', 'tricoteuse']
131|bilious|['niveous', 'bijou', 'obelus', 'invidious', 'lour']
132|billet-doux|['bilious', 'melliferous', 'mellifluous', 'illeism', 'imperious']
133|blancmanges|['bagman', 'carcanet', 'ananke', 'bacchanal', 'ascian']
134|blatherskite|['lachesis', 'guttersnipe', 'lachrymose', 'apotheosis', 'saturnine']
135|blepharal|['plethora', 'bacchanal', 'ethereal', 'bluebeard', 'anaphora']
136|bluebeard|['belvedere', 'blepharal', 'upbraid', 'gleed', 'quean']
137|bluestocking|['becoming', 'fetching', 'pluton', 'squittering', 'cleptocracy']
138|boondoggle|['honeyfuggle', 'zaggle', 'mooncalf', 'mondegreen', 'apogee']
139|botryoidal|['brumal', 'connubial', 'brood', 'mottainai', 'apocryphal']
891|boustrophedon|['epistrophe', 'poltroon', 'obstreperous', 'burgher', 'ouroboros']
140|bowdlerize|['bijouterie', 'locarnize', 'cerise', 'temporize', 'roulette']
141|brabble|['greeble', 'tranche', 'darkle', 'zaggle', 'ripple']
142|breviloquence|['melliloquent', 'deliquesce', 'eloquent', 'grandiloquent', 'effloresce']
143|brinkmanship|['blancmanges', 'monomania', 'cineraria', 'skiamachy', 'menhir']
144|brood|['droog', 'prosody', 'roué', 'kloof', 'bijou']
145|brumal|['bumf', 'bagman', 'rta', 'coeval', 'vernal']
146|bruxism|['paroxysm', 'illeism', 'sophism', 'brumal', 'dixi']
147|bucolic|['laconic', 'becoming', 'demotic', 'abulia', 'burgher']
148|bumf|['brumal', 'futz', 'qua', 'quiff', 'fug']
149|burgher|['balter', 'murmur', 'luthier', 'apogee', 'furtive']
150|cachinnate|['comminate', 'decimate', 'arcuate', 'aureate', 'titivate']
151|cacography|['ropography', 'holograph', 'cenotaph', 'cacotopia', 'panoply']
152|cacotopia|['acyrologia', 'catspaw', 'cenotaph', 'laconic', 'cacography']
153|cadence|['cafuné', 'nascency', 'adonize', 'cathect', 'ingenue']
154|cafuné|['crunt', 'cairn', 'calumny', 'lacuna', 'calx']
155|cairn|['ravin', 'chiral', 'calx', 'cafuné', 'chyron']
156|callipygian|['palliation', 'tellurian', 'kalopsia', 'talisman', 'riparian']
157|calumny|['cafuné', 'lacuna', 'churly', 'malus', 'crunt']
158|calx|['jape', 'waft', 'lilt', 'kalpa', 'malus']
159|canarding|['nibling', 'aniline', 'anodyne', 'cairn', 'abaddon']
16|candelabra|['cineraria', 'conflate', 'anhedonia', 'penumbra', 'hagiolatry']
160|canescent|['evanescent', 'tumescent', 'cadence', 'cognoscenti', 'lambent']
161|carbuncle|['gruntle', 'cadence', 'carceral', 'arcuate', 'parcae']
162|carcanet|['parcae', 'arcuate', 'caryatid', 'mordant', 'chicanery']
163|carceral|['carcanet', 'corbeau', 'mercurial', 'chiral', 'coeval']
164|caryatid|['carcanet', 'tarantism', 'hamartia', 'argot', 'arcuate']
165|casuistry|['sophistry', 'cairn', 'calumny', 'desultory', 'cataplexy']
166|casus belli|['antebellum', 'casuistry', 'canescent', 'bagatelle', 'umbrella']
167|catachresis|['lachesis', 'katabasis', 'cataplexy', 'cathect', 'gargalesis']
168|cataphracted|['cathect', 'catachresis', 'cataplexy', 'amaranth', 'ataraxy']
169|cataplexy|['ataraxy', 'acatalepsy', 'cathect', 'panoply', 'calx']
170|cathect|['decathect', 'lambent', 'catspaw', 'lithe', 'cadence']
171|catspaw|['kalpa', 'cathect', 'tulpa', 'chatoyant', 'parcae']
172|cenotaph|['cunctator', 'neoteny', 'cacotopia', 'holograph', 'cacography']
173|cephalophore|['ommatophore', 'malaphor', 'hypophora', 'anthypophora', 'anaphora']
174|cerebrotonic|['cacotopia', 'peroration', 'demotic', 'dendritic', 'parergon']
175|cerise|['xeric', 'ferule', 'verve', 'pariah', 'parcae']
176|chantpleure|['craquelure', 'cataplexy', 'candelabra', 'hachure', 'cynosure']
177|charientism|['tarantism', 'mithridatism', 'maieutic', 'arietiform', 'asterism']
178|chatoyant|['halcyon', 'chyron', 'cathect', 'essorant', 'carcanet']
179|chiaroscuro|['chiasmus', 'cynosure', 'chicanery', 'chiral', 'chyron']
180|chicanery|['carcanet', 'chiasmus', 'hiraeth', 'scrivener', 'chiral']
181|chiral|['churly', 'wheal', 'moirai', 'cairn', 'coeval']
182|chitosemidori|['arietiform', 'philodox', 'thagomizer', 'cucumeriform', 'chicanery']
183|churly|['chiral', 'chyron', 'comely', 'knurl', 'squirl']
184|chyron|['chiral', 'cairn', 'churly', 'orison', 'timon']
185|cimmerian|['riparian', 'tellurian', 'cineraria', 'sidereal', 'tempera']
186|cineraria|['penetralia', 'oneiric', 'suzerain', 'cimmerian', 'akrasia']
187|cingulomania|['monomania', 'mythomania', 'opsomania', 'drapetomania', 'cineraria']
188|circumlocution|['anaculothon', 'proprioception', 'embrocation', 'nickelodeon', 'cingulomania']
189|claque|['slake', 'malus', 'glamour', 'alazon', 'sluice']
190|cleptocracy|['geniocracy', 'kleptoplasty', 'gerontocracy', 'aleatory', 'aliteracy']
191|clotho|['lithe', 'lothario', 'louche', 'lour', 'ploce']
192|coeval|['wheal', 'chiral', 'quean', 'carceral', 'corbeau']
193|cognoscenti|['canescent', 'evanescent', 'nigrescence', 'nascency', 'monosemy']
17|coiffure|['cynosure', 'inure', 'leisure', 'conflate', 'fluke']
194|comely|['contumely', 'churly', 'moiety', 'polytely', 'temul']
195|comminate|['cachinnate', 'conflate', 'costive', 'ultimate', 'aestivate']
196|complaisant|['volitant', 'concomitant', 'gisant', 'malaise', 'covenant']
197|compotator|['cunctator', 'comminate', 'copacetic', 'conatus', 'conflate']
198|conatus|['obelus', 'malus', 'conflate', 'claque', 'chiasmus']
199|concision|['elision', 'orison', 'erudition', 'monopsony', 'inanition']
200|concomitant|['concision', 'volitant', 'complaisant', 'connubial', 'comminate']
201|concupiscence|['nigrescence', 'concision', 'cognoscenti', 'nascency', 'canescent']
202|conflate|['conatus', 'peculate', 'prolate', 'coiffure', 'comminate']
203|connubial|['contumely', 'mercurial', 'ennui', 'concision', 'obnubilate']
204|contranym|['contronym', 'aptronym', 'pangram', 'covenant', 'contumely']
205|contrecoup|['contronym', 'contranym', 'concision', 'contumely', 'conatus']
206|contronym|['contranym', 'aptronym', 'iconotropy', 'anacronym', 'endonym']
207|contumely|['comely', 'tontine', 'contranym', 'contronym', 'churly']
208|copacetic|['diegetic', 'maieutic', 'sybaritic', 'pomaceous', 'laconic']
209|corbeau|['parvenu', 'comely', 'obelus', 'carceral', 'coeval']
210|costive|['vestige', 'furtive', 'tontine', 'roscid', 'pastiche']
211|covenant|['coeval', 'mordant', 'volitant', 'carcanet', 'koalang']
212|craquelure|['claque', 'chantpleure', 'cynosure', 'cadence', 'rivulose']
213|crepuscular|['pulviscular', 'jentacular', 'prebuttal', 'esculent', 'recusant']
214|crunt|['ort', 'cafuné', 'argot', 'gruntle', 'puce']
215|cryptomnesia|['cryptophasia', 'paramnesia', 'drapetomania', 'orthogenesis', 'paresthesia']
216|cryptophasia|['cryptomnesia', 'nyctophilia', 'apophasis', 'hypophora', 'cacotopia']
217|cucumeriform|['euhemerism', 'arietiform', 'aciniform', 'vermiform', 'cimmerian']
218|cunctator|['compotator', 'concision', 'conflate', 'conatus', 'cenotaph']
219|curglaff|['aurulent', 'ululate', 'prolate', 'corbeau', 'augean']
2|cyclogon|['pluton', 'clotho', 'concision', 'parergon', 'myrmidon']
220|cynosure|['leisure', 'inure', 'coiffure', 'evolute', 'involute']
221|dalliance|['ullage', 'aniline', 'odalisque', 'lagniappe', 'alliciency']
222|darkle|['ferule', 'parcae', 'zaggle', 'janky', 'harrow']
223|decathect|['cathect', 'decoct', 'feculent', 'demotic', 'decimate']
224|decimate|['ultimate', 'peculate', 'vellicate', 'opsimath', 'eremite']
225|decoct|['droog', 'dulcet', 'demure', 'demotic', 'decimate']
226|defenestrate|['lemniscate', 'intestate', 'pernoctate', 'perendinate', 'excogitate']
227|deipnosophist|['sophist', 'sophism', 'thanatopsis', 'aposiopesis', 'amnicolist']
228|deliquesce|['eloquent', 'demesne', 'recrudesce', 'desuetude', 'sluice']
229|demagogue|['zaggle', 'apogee', 'demesne', 'demotic', 'demure']
230|demesne|['demure', 'nemesis', 'cerise', 'jejune', 'serein']
231|demotic|['diegetic', 'xeric', 'demesne', 'laconic', 'bucolic']
232|demure|['temul', 'jejune', 'inure', 'demesne', 'leisure']
233|dendritic|['diacritic', 'sybaritic', 'dolorific', 'demotic', 'pendent']
234|denouement|['enjambment', 'redolent', 'emollient', 'feculent', 'omnilegent']
235|descanso|['dysania', 'ascian', 'carcanet', 'gestalt', 'gisant']
236|desuetude|['desultory', 'lassitude', 'demesne', 'demure', 'dissemble']
237|desultory|['desuetude', 'casuistry', 'demure', 'sedulous', 'aleatory']
238|deuteragonist|['euhemerism', 'telamon', 'extropianism', 'phlebotomist', 'demagogue']
239|diacritic|['dendritic', 'diegetic', 'dolorific', 'sybaritic', 'laconic']
240|diaphanous|['imperious', 'unasinous', 'anaphora', 'aphantasia', 'sphagnum']
241|diegetic|['demotic', 'diacritic', 'nigget', 'maieutic', 'dixi']
242|discalceate|['discalced', 'isolato', 'imbricate', 'dulcet', 'rusticate']
243|discalced|['discalceate', 'dulcet', 'descanso', 'skyclad', 'diacritic']
244|dissemble|['lissome', 'assemblage', 'greeble', 'imbue', 'demure']
245|dittohead|['litotes', 'lithe', 'nithered', 'sisyphean', 'epitrochoid']
246|dixi|['doxy', 'sic', 'gigil', 'elixir', 'lilt']
247|doctrinaire|['locarnize', 'mottainai', 'comminate', 'decimate', 'dotard']
248|doggerel|['carceral', 'spandrel', 'demure', 'sidereal', 'nonpareil']
249|dolorific|['diacritic', 'dendritic', 'oneiric', 'orphic', 'sybaritic']
250|dorodango|['mordant', 'descanso', 'horology', 'koalang', 'droog']
251|doryphore|['torpor', 'hypophora', 'anaphora', 'malaphor', 'orphic']
252|dotard|['lothario', 'rta', 'untoward', 'roscid', 'ort']
253|doxy|['oofy', 'dixi', 'lour', 'ort', 'droog']
254|drapetomania|['opsomania', 'mythomania', 'monomania', 'cingulomania', 'cryptophasia']
255|droog|['brood', 'doxy', 'grok', 'kloof', 'roué']
256|dudgeon|['augean', 'lagoon', 'eidolon', 'kludge', 'quean']
257|dulcet|['puce', 'decoct', 'ploce', 'dudgeon', 'umwelt']
258|dysania|['gisant', 'sapid', 'descanso', 'opsomania', 'akrasia']
259|dysteleology|['teleology', 'teleonomy', 'ktenology', 'etiology', 'vexillology']
260|dystheism|['asterism', 'henotheism', 'agathism', 'aesthete', 'dysania']
261|décolletage|['discalceate', 'ullage', 'excogitate', 'roulette', 'dalliance']
262|ebullient|['emollient', 'feculent', 'opulent', 'esculent', 'dulcet']
263|ecdysiast|['recusant', 'recidivist', 'lachesis', 'polysemant', 'essorant']
264|ecumenopolis|['jumentous', 'autonoesis', 'amnicolist', 'onomatopoeia', 'ouroboros']
265|edulcorate|['equivocate', 'elucubrate', 'dulcet', 'peculate', 'ultimate']
266|effervescent|['evanescent', 'effloresce', 'tumescent', 'canescent', 'viridescent']
267|effloresce|['effervescent', 'elflock', 'recrudesce', 'limerence', 'edulcorate']
268|eidolon|['dudgeon', 'redolent', 'lagoon', 'endonym', 'elision']
269|eigengrau|['pangram', 'exigent', 'ephemeral', 'exemplar', 'nigget']
270|elflock|['ploce', 'tussock', 'elision', 'decoct', 'pleroma']
271|elision|['elixir', 'orison', 'albion', 'pluton', 'lissome']
272|elixir|['dixi', 'elision', 'lilt', 'lour', 'ennui']
273|eloquent|['melliloquent', 'redolent', 'emollient', 'esculent', 'lambent']
274|elucubrate|['edulcorate', 'lucubration', 'ululate', 'equivocate', 'arcuate']
275|embonpoint|['emollient', 'ebullient', 'tontine', 'essorant', 'eidolon']
276|embrocation|['peroration', 'imbricate', 'oblectation', 'erudition', 'imbroglio']
277|emollient|['ebullient', 'esculent', 'redolent', 'eloquent', 'mordant']
278|endonym|['ennui', 'anacronym', 'pendent', 'eidolon', 'contronym']
279|enjambment|['lambent', 'denouement', 'pendent', 'incipient', 'ebullient']
280|ennui|['preux', 'inure', 'jingo', 'lour', 'vernal']
281|ephemeral|['ethereal', 'euhemerism', 'sidereal', 'chiral', 'carceral']
282|epicaricacy|['parcae', 'epicycle', 'sicario', 'aliteracy', 'imbricate']
9|epicycle|['manicule', 'skinkle', 'ploce', 'euchre', 'parcae']
283|epiphany|['theophany', 'lexiphanic', 'elision', 'epicycle', 'essorant']
65|epistrophe|['pastiche', 'epitrochoid', 'eucatastrophe', 'nepenthe', 'boustrophedon']
8|epitrochoid|['trochoid', 'epistrophe', 'petrichor', 'apotropaic', 'dittohead']
284|eponymous|['mononymous', 'polysemous', 'pomaceous', 'endonym', 'uxorious']
285|equivocate|['edulcorate', 'elucubrate', 'etiolated', 'evocative', 'evolute']
286|eremite|['anomie', 'prolate', 'evolute', 'greeble', 'ersatz']
287|ersatz|['prolate', 'aureate', 'rta', 'argot', 'crunt']
288|erstwhile|['vestige', 'aesthete', 'costive', 'eremite', 'sophism']
289|erudition|['inanition', 'peroration', 'elision', 'eremite', 'orison']
290|erythrean|['ethereal', 'euchre', 'sisyphean', 'yestreen', 'riparian']
291|esculent|['feculent', 'aurulent', 'opulent', 'ebullient', 'redolent']
292|escutcheon|['esculent', 'sisyphean', 'cathect', 'pluton', 'louche']
293|esoteric|['exoteric', 'xeric', 'oneiric', 'asterism', 'demotic']
294|essorant|['mordant', 'esculent', 'gisant', 'chatoyant', 'luxuriant']
295|ethereal|['ephemeral', 'sidereal', 'wheal', 'erythrean', 'chiral']
296|etiolated|['heliolatry', 'evolute', 'etiology', 'prolate', 'tenanted']
297|etiology|['ktenology', 'teleology', 'horology', 'etiolated', 'eidolon']
298|eucatastrophe|['epistrophe', 'euchre', 'octothorpe', 'cacography', 'cacotopia']
299|euchre|['puce', 'louche', 'hachure', 'poché', 'inure']
300|euhemerism|['ephemeral', 'spoonerism', 'nemesis', 'temerity', 'asterism']
301|evanescent|['canescent', 'tumescent', 'plangent', 'viridescent', 'cognoscenti']
302|evocative|['evolute', 'costive', 'furtive', 'embrocation', 'tontine']
3|evolute|['involute', 'prolate', 'evocative', 'eremite', 'peculate']
303|excogitate|['pernoctate', 'decimate', 'conflate', 'comminate', 'etiolated']
304|exeleutherostomize|['metagrobolize', 'blatherskite', 'guttersnipe', 'cerebrotonic', 'lethologica']
305|exemplar|['tempera', 'temul', 'eremite', 'ashlar', 'ephemeral']
306|exergasia|['akrasia', 'penetralia', 'querencia', 'xeric', 'cineraria']
307|exigent|['pediment', 'opulent', 'esculent', 'eloquent', 'plangent']
308|exoteric|['esoteric', 'xeric', 'oneiric', 'demotic', 'bijouterie']
309|expostulation|['percontation', 'exsanguination', 'jactitation', 'erudition', 'peroration']
310|exsanguination|['expostulation', 'jactitation', 'ratiocination', 'inanition', 'palliation']
311|extropianism|['apotropaic', 'apophasis', 'mythomania', 'exergasia', 'aptronym']
312|faldage|['saudade', 'ullage', 'farrago', 'sabrage', 'parcae']
313|farrago|['sabrage', 'faldage', 'pariah', 'ferrule', 'argot']
314|façon de parler|"['pourparler', 'mondegreen', ""raison d'etre"", 'boondoggle', 'candelabra']"
315|feckless|['feculent', 'ferule', 'lachesis', 'frass', 'darkle']
316|feculent|['esculent', 'aurulent', 'ferule', 'opulent', 'recusant']
317|felicitation|['oblectation', 'palliation', 'jactitation', 'percontation', 'humicubation']
318|felicitous|['felicity', 'fugacious', 'bilious', 'felicitation', 'elision']
319|felicity|['felicitous', 'velleity', 'apricity', 'vellicate', 'elision']
320|ferhoodle|['ferule', 'ferrule', 'kerfuffle', 'brood', 'recondite']
321|ferrule|['ferule', 'darkle', 'demure', 'vernal', 'verve']
322|ferule|['ferrule', 'mettle', 'demure', 'darkle', 'feculent']
323|festschrift|['fetching', 'weltschmerz', 'essorant', 'menticide', 'reptatorial']
324|fetching|['becoming', 'tetchy', 'menhir', 'offing', 'festschrift']
325|feuillemort|['vexillology', 'verklempt', 'feculent', 'dulcet', 'desultory']
326|fifth column|['benthocosm', 'eidolon', 'calumny', 'contrecoup', 'diaphanous']
327|figura serpentinata|['perendinate', 'porpentine', 'serendipity', 'propreantepenultimate', 'rasputitsa']
328|flammulated|['ululate', 'stridulate', 'etiolated', 'ultimate', 'peculate']
329|fluke|['slake', 'futz', 'kludge', 'puce', 'fug']
330|foofaraw|['anorak', 'dotard', 'lothario', 'moirai', 'gonfalon']
331|forbearance|['porpentine', 'foofaraw', 'corbeau', 'limerence', 'oscitancy']
11|foreshortening|['doryphore', 'vespertine', 'bluestocking', 'fetching', 'cerebrotonic']
332|frangible|['brabble', 'gruntle', 'manicule', 'zaggle', 'tranche']
333|frass|['maw', 'fug', 'fluke', 'akrasia', 'ferule']
334|fremdschämen|['frenchified', 'weltschmerz', 'festschrift', 'lemniscate', 'tranche']
335|frenchified|['fetching', 'trochoid', 'tranche', 'recherce', 'frangible']
336|fug|['qua', 'futz', 'roué', 'bumf', 'sic']
337|fugacious|['pomaceous', 'felicitous', 'uxorious', 'unasinous', 'muckibus']
338|furlough|['ullage', 'querulous', 'droog', 'ferrule', 'faldage']
339|furtive|['costive', 'quercine', 'aureate', 'ferule', 'ferrule']
340|fusillade|['ullage', 'ululate', 'rusticate', 'saudade', 'faldage']
341|fustilugs|['furlough', 'susurrus', 'fugacious', 'fusillade', 'vestige']
342|futz|['fug', 'puce', 'ort', 'bumf', 'fluke']
343|gambol|['lagoon', 'temul', 'albion', 'gigil', 'grok']
344|gargalesis|['katabasis', 'lachesis', 'paramnesia', 'nemesis', 'exergasia']
345|gaslighting|['palliation', 'bailiwick', 'vespertine', 'volitant', 'lassitude']
346|geniocracy|['gerontocracy', 'cleptocracy', 'ochlocracy', 'timocracy', 'aliteracy']
347|gerontocracy|['geniocracy', 'cleptocracy', 'kakistocracy', 'pernoctate', 'timocracy']
348|gestalt|['gisant', 'vestige', 'aesthete', 'aestival', 'vernal']
349|gigil|['pugil', 'dixi', 'timon', 'xeric', 'ripple']
350|gisant|['gestalt', 'lilt', 'orison', 'dysania', 'crunt']
